English,Україньска,Русский,Notes
"big, large, important",великий,большой,
"first, front, former",перший,первый,
"good, nice",хороший,хороший,
"new, modern",новий,новый,
"due, proper",належний,должный,
necessary,потрібний,нужный,
"last, the latest",останній,последний,
white,білий,белый,
"main, chief",головний,главный,
"small, little",маленький,маленький,
"distant, remote",далекий,далекий,
Soviet,радянський,советский,
Ukrainian,український,украинский,
Russian,російська,русский,
"full, complete",повний,полный,
"general, common",загальний,общий,
past,минулий,прошлый,
"well-known, famous",відомий,известный,
"similar, alike",схожий,похожий,
young,молодий,молодой,
red,червоний,красный,
early,ранній,ранний,
"tall, high",високий,высокий,
"whole, entire",цілий,целый,
"huge, enormous",величезний,огромный,
"present;real, true",справжній,настоящий,
"live, lively",живий,живой,
black,чорний,чёрный,
different,різний,разный,
one's own,власний,собственный,
great,великий,великий,
heavy,важкий,тяжёлый,
long,довгий,длинный,
"next, following",наступний,следующий,
personal,особистий,личный,
"familiar, acquainted",знайомий,знакомый,
"strong, powerful",сильний,сильный,
"quick, fast",швидкий,скорый,
"simple, easy, plain",простий,простой,
green,зелений,зеленый,
strange,дивний,странный,
"only, sole",єдиний,единственный,
short,короткий,короткий,
kind,добрий,добрый,
dark,темний,темный,
"better, best",кращий,лучший,
military,військовий,военный,
"terrible, frightful",страшний,страшный,
necessary,необхідний,необходимый,
"light, easy",легкий,лёгкий,
main,основний,основной,
wide,широкий,широкий,
beautiful,вродливий,красивый,
grey; dull,сірий,серый,
"small, not great",невеликий,небольшой,
"empty, hollow; idle",порожній,пустой,
human,людський,человеческий,
"thick, heavy, fat",товстий,толстый,
"clean, pure",чистий,чистый,
former,колишній,прежний,
"thin, skinny",худий,худой,
"strange, foreign",чужий,чужой,
special,особливий,особый,
former,колишній,бывший,
"near, similar; intimate",близький,близкий,
sick,хворий,больной,
"given, present",даний,данный,
"elder, senior",старший,старший,
"similar, like",подібний,подобный,
right,правий,правый,
"cold, cool",холодний,холодный,
"own, native, dear",рідний,родной,
open,відкритий,открытый,
yellow,жовтий,желтый,
golden,золотий,золотой,
local,місцевий,местный,
"large, big, prominent",великий,крупный,
frequent,частий,частый,
Russian,російський,российский,
working,робочий,рабочий,
dark blue,синій,синий,
warm,теплий,теплый,
"ferreous, iron",залізний,железный,
"usual, ordinary",звичайний,обычный,
"remaining, the rest of",решті,остальной,
Moscow,московський,московский,
important,важливий,важный,
late,пізній,поздний,
thin,тонкий,тонкий,
German,німецький,немецкий,
"beautiful, fine",прекрасний,прекрасный,
correct; faithful,вірний,верный,
ready,готовий,готовый,
political,політичний,политический,
unknown,невідомий,неизвестный,
"quiet, low, scelent",тихий,тихий,
"inside, internal",внутрішній,внутренний,
State,державний,государственный,
deep,глибокий,глубокий,
"blue, sky-blue",блакитний,голубой,
long,довгий,долгий,
weak,слабкий,слабый,
"confident, sure",впевнений,уверенный,
"dear, loved",улюблений,любимый,
"alien, strange",сторонній,пришлый,
serious,серйозний,серьезный,
"quick, fast",швидкий,быстрый,
left,лівий,левый,
"child's, children's",дитячий,детский,
"related, connected",пов'язаний,связанный,
hot,гарячий,горячий,
happy,щасливий,счастливый,
sharp; spicy,гострий,острый,
"shallow, small",невеликий,мелкий,
"contemporary, modern",сучасний,современный,
"cheerful, merry",веселий,веселый,
"nice, sweet, dear",милий,милый,
"average, middle",середній,средний,
American,американський,американский,
night,нічний,ночной,
healthy,здоровий,здоровый,
dry,сухий,сухой,
free,вільний,свободный,
capable (of),здатний,способный,
interesting,цікавий,интересный,
on the way,дорогий,дорогой,
wet,мокрий,мокрый,
straight,прямий,прямой,
