English,Україньска,Русский,Notes
boot,чобіт,сапо́г,
pocket,кишеню,карма́н,
clothes,одяг,оде́жда,
suit,костю́м,костю́м,
dress,плаття,пла́тье,
toque,ша́пка,ша́пка,
shirt,сорочка,руба́шка,
"coat, mackintosh",плащ,плащ,
"kerchief, headscarf",хустку,плато́к,
"lapel, cushion",борт,борт,
jacket,ку́ртка,ку́ртка,
overcoat,шине́ль,шине́ль,
belt,"по́яс, ремінь",по́яс,
blazer,піджак,пиджа́к,
"coat, topcoat",пальто́,пальто́,
"blanket, quilt",ковдра,одея́ло,
hat,капелюх,шля́па,
shoe,черевик,боти́нок,
housecoat,хала́т,хала́т,
lingerie,білизна,бельё,
necktie,краватка,га́лстук,
shirt,сорочка,руба́ха,
undershirt,майка,ма́йка,
"outfit, costume",наря́д,наря́д,
sock,шкарпетка,носо́к,
shoe,туфля,ту́фля,
newsboy cap,кашкет,фура́жка,
mask,ма́ска,ма́ска,
skirt,спідниця,ю́бка,
"mitt, mitten",рукавичка,перча́тка,
"shoe, boot",башма́к,башма́к,
fur coat,шу́ба,шу́ба,
helmet,шолом,шлем,
sleeve,рукав,рука́в,
tutu,па́чка,па́чка,
baseball cap,шапка,шапка,
bathing suit,купальник,купальник,
blouse,блюзка,Блузка,
glove,рукавичка,перчатка,
pants,штани,брюки,
raincoat,дощовик,дождевик,
scarf,шалик,шарфик,
shoe,Черевик/туфля,ботинок / туфля,
stocking,панчоха,панчоха,
baseball cap,шапка,шапка,
sandal,босоніжка,босоножка,
scarf,шалик,шарфик,
