English,Україньска,Русский,Notes
"and, though",і,и,
"while, and, but",а,а,
"how, what, as, like",як,как,
but,але,но,
"and, as for, but, same",ж,же,
"yes, but",да,да,
or,або,или,
if,якщо,если,
"not a, not, neither… nor",ні,ни,
"that, in order that",щоб,чтобы,
than; instead of,ніж,чем,
"whether, if",чи,ли,
"you see, you know",адже,ведь,
although,хоча,хотя,
"as if, as though",ніби,будто,
"however, though",проте,однако,
"even, if you want, though",хоч,хоть,
"as if, like",немов,словно,
"let's, though",нехай,пусть,
"that, in order that",щоб,чтоб,
"like, not unlike",начебто,вроде,
"however, though",втім,впрочем,
or,або,либо,
"so far as, since",оскільки,поскольку,
"but, but then",зате,зато,
for,бо,ибо,
