English,Україньска,Русский,Notes
car,авто,маши́на,
book,кни́га,кни́га,
bottle,пляшка,буты́лка,
telephone,телефо́н,телефо́н,
"things, belongings",річ,вещь,
"tube, pipe",тру́бка,тру́бка,
"tank, container",танк,танк,
automatic machine,автома́т,автома́т,
piece,шматок,кусо́к,
"bag, sack",мішок,мешо́к,
knife,ніж,нож,
page,сторінка,страни́ца,
sword,меч,меч,
"board, plank",дошка,доска́,
lock,за́мок,за́мок,
"object, article",предмет,предме́т,
"ticket, card",квиток,биле́т,
bell,дзвінок,звоно́к,
cigarette,сигаре́та,сигаре́та,
pen,ру́чка,ру́чка,
"bag, pouch",су́мка,су́мка,
wheel,колесо́,колесо́,
"suitcase, trunk",чемода́н,чемода́н,
trunk,ствол,ствол,
"good, property",добро́,добро́,
screen,екран,экра́н,
object,об'єкт,объе́кт,
thing,штука,шту́ка,
"commodity, article",това́р,това́р,
net,мережа,сеть,
saw,пила́,пила́,
implement,знаряддя,ору́дие,
stick,палиця,па́лка,
lantern,ліхтар,фона́рь,
"seal, stamp",печатка,печа́ть,
plate,тарілка,таре́лка,
axe,сокиру,топо́р,
rope,мотузка,верёвка,
bucket,відро,ведро́,
scrap of paper,папірець,бума́жка,
lamp,ла́мпа,ла́мпа,
belt,ремінь,реме́нь,
"folder, binder",па́пка,па́пка,
chain,ланцюг,цепь,
package,паке́т,паке́т,
post,стовп,столб,
instrument,інструмент,инструме́нт,
stamp,марка,ма́рка,
box,коро́бка,коро́бка,
spoon,ло́жка,ло́жка,
briefcase,портфе́ль,портфе́ль,
fluff,пушок,пушо́к,
nail,цвях,гвоздь,
button,кно́пка,кно́пка,
"load, freight",вантаж,груз,
card,картка,ка́рточка,
cartridge ,патрон,патро́н,bullet
"wheel, helm",кермо,руль,steering wheel
frame,ра́мка,ра́мка,picture frame
pencil,олівець,каранда́ш,
"bloc, pulley",блок,блок,
"lid, cover",кришка,кры́шка,
match a device to make fire,сірник,спи́чка,
"spade, shovel",лопа́та,лопа́та,
ribbon,стрічка,ле́нта,
cigarette,цигарка,папиро́са,
"rag, duster",ганчірка,тря́пка,
"kitchen range, oven",плита́,плита́,
cup,ча́шка,ча́шка,
soap,мило,мы́ло,
sign,прикмета,приме́та,
"candle, light",свічка,свеча́,
wineglass,чарка,рю́мка,
"dish, course",страва,блю́до,
"splinter, fragment",уламок,оско́лок,
telegram,телегра́мма,телегра́мма,
"bar, counter",стійка,сто́йка,
electric light bulb,лампочка,ла́мпочка,
button,гудзик,пу́говица,
wire,дріт,про́волока,
collar,комір,воротни́к,
"shell, jacket",оболо́чка,оболо́чка,bullet casing
brush,пензлик,кисть,paint brush
wire,дріт,про́вод,electrical wire
bulk,нар,нар,
toy,іграшка,игру́шка,
"teapot, kettle",ча́йник,ча́йник,
vessel,посудину,сосу́д,
pot,казанок,котело́к,cooking pot
"glass, goblet",келих,бока́л,wine glass
typewriter,маши́нка,маши́нка,
shield,щит,щит,
backpack,рюкза́к,рюкза́к,
gate,хвіртка,кали́тка,
"chain, necklace",ланцюжок,цепо́чка,
rubbish,сміття,му́сор,
equipment,обладнання,обору́дование,
hook,гачок,крючо́к,fish hook
binoculars,бінокль,бино́кль,
basket,корзина,корзи́на,
"frame, chassis",ра́ма,ра́ма,
flag,прапор,зна́мя,
cigarette-butt,оку́рок,оку́рок,
oar,весло,весло́,
photo,знімок,сни́мок,
body,кузов,ку́зов,body of a car
ball,м'яч,мяч,
match,матч,матч,
film,плівка,плёнка,plastic film
figurine,фігурка,фигу́рка,
doll,лялька,ку́кла,
rail,рейок,рельс,train rail
carrion,падаль,па́даль,
netting,сітка,се́тка,
pot,каструля,кастрю́ля,pot for boiling things
envelope,конве́рт,конве́рт,
machinery,техніка,те́хника,
