English,Україньска,Русский,Notes
"so, thus, then",так,так,
"still, yet",ще,ещё,
"only, merely, but",тільки,только,
"when, while, as",коли,когда,
"already, by now",вже,уже,
where,де,где,
"there, then",там,там,
"here, now, then",тут,тут,
"afterwards, then",потім,потом,
very,дуже,очень,
"now, nowadays",тепер,теперь,
"also, as well, too",теж,тоже,
"now, presently, soon",зараз,сейчас,
here,тут,здесь,
then,тоді,тогда,
that's why,тому,потому,
simply,просто,просто,
"really, already",вже,уж,
"several, some",кілька,несколько,
for the present,поки,пока,
well,добре,хорошо,
more,більше,более,
always,завжди,всегда,
"where, what for, much",куди,куда,
"at once, right away, just",відразу,сразу,
"quite, entirely, totally",зовсім,совсем,
almost,майже,почти,
"many, much",багато,много,
again,знову,снова,
again,знову,опять,
"only, as soon as",лише,лишь,
never,ніколи,никогда,
"namely, just",саме,именно,
"in general, altogether, on the whole",взагалі,вообще,
"hardly, slightly",трохи,чуть,
today,сьогодні,сегодня,
together,разом,вместе,
"what for, why",навіщо,зачем,
"at last, finally",нарешті,наконец,
"back, backwards",назад,назад,
long ago,давно,давно,
"straight, frankly",прямо,прямо,
for a long time,довго,долго,
"fast, quickly",швидко,быстро,
therefore,тому,поэтому,
"absolutely, quite",цілковито,совершенно,
exactly,точно,точно,
sometimes,іноді,иногда,
"then, after that",потім,затем,
"also, as well, too",також,также,
where… from,звідки,откуда,
"especially, particularly",особливо,особенно,
"alike, in like manner",одно,равно,
"little, few",мало,мало,
there,туди,туда,
here,сюди,сюда,
"indeed, really",дійсно,действительно,
"too, too much",занадто,слишком,
a little,трохи,немного,
"quietly, softly, slowly",тихо,тихо,
"in harmony, well, all right",гаразд,ладно,
"probably, most likely",мабуть,наверное,
often,часто,часто,
home,додому,домой,"as in ""she came home"""
"at first, from the beginning",спочатку,сначала,
"quite, fully",цілком,вполне,
slowly,повільно,медленно,
"in now way, by no means",ніяк,никак,
enough; rather,досить,довольно,
"hardly, just, barely",ледь,едва,
"far, far off",далеко,далеко,
badly,погано,плохо,
usually,зазвичай,обычно,
"clear, clearly",ясно,ясно,
"quickly, fast, soon",скоро,скоро,
tomorrow,завтра,завтра,
"once, one day",одного разу,однажды,
"otherwise, differently",інакше,иначе,
"to the point, at the same time",до речі,кстати,
with difficulty,важко,трудно,
"easily, lightly",легко,легко,
as… as possible,можливо,возможно,"as in ""as soon as possible"""
quiet; not at all,зовсім,вовсе,
"down, downwards",вниз,вниз,
less,менш,менее,
quietly,спокійно,спокойно,
"so much, so many",стільки,столько,
out,он,вон,
"apparently, seemingly",мабуть,видимо,
"enough, sufficiently",досить,достаточно,
"silently, without a word",мовчки,молча,
strongly,сильно,сильно,
"unexpectedly, suddenly",несподівано,неожиданно,
yesterday,вчора,вчера,
please,будь ласка,пожалуйста,
higher,вище,выше,
"many, much, a lot of",багато,много,
"again, once more",знову,вновь,
for the first time,вперше,впервые,
interestingly,цікаво,интересно,
"back, backwards",назад,обратно,
impossible,неможливо,невозможно,
"very, highly, greatly",вельми,весьма,
"carefully, cautiously",обережно,осторожно,
"correctly, properly",правильно,правильно,
"recently, lately",нещодавно,недавно,
"moreover, and what's more",причому,причем,
"without fail, be sure",обов'язково,обязательно,
"up, upwards",вгору,вверх,
so,настільки,столь,
strangely,дивно,странно,
"soon, shortly",незабаром,вскоре,
"clearly, plainly",відомо,понятно,
"terribly, awfully",страшно,страшно,
probably,напевно,наверно,
slightly,злегка,слегка,
from here,звідси,отсюда,
