English,Україньска,Русский,Notes
"sky, heaven",не́бо,не́бо,
"earth, soil",земля́,земля́,
"world, universe",мир,мир,
light,світло,свет,
air,повітря,во́здух,
sun,сонце,со́лнце,
"bank, shore, coast, beach",берег,берег,
"fire, light",вогонь,ого́нь,
"tree, wood",де́рево,де́рево,
"inlet, bay",губа́,губа́,
"stone, rock",камінь,ка́мень,
"river, stream",річка,река́,
"mountain, hill",гора́,гора́,
"sea, ocean",мо́ре,мо́ре,
grass,трава́,трава́,
"nature, countryside",приро́да,приро́да,
"leaf, blade",лист,лист,
"flower, blossom",квітка,цвето́к,
rain,дощ,дождь,
"bush, shrub",кущ,куст,
smoke,дим,дым,
"island, isle",острів,о́стров,
"wave, breaker",хвиля,во́лна,
"bonfire, fire",багаття,костёр,
echo,відлуння,э́хо,
"mist, fog",тума́н,тума́н,
planet,плане́та,плане́та,
"spring, source","джерело",исто́чник,
frost,моро́з,моро́з,
lake,о́зеро,о́зеро,
"dirt, mud",бруд,грязь,
"stream, current",потік,пото́к,
cold,хо́лод,хо́лод,
cloud,хмара,о́блако,
moon,місяць,луна́,
rock,скеля,скала́,
ice,лід,лед,
gas,газ,газ,
root,корінь,ко́рень,
temperature,температу́ра,температу́ра,
"fungus, mushroom",гриб,гриб,
"ray, beam",промінь,луч,
"branch, twig",гілка,ве́тка,
fire,пожежа,пожа́р,
weather,пого́да,пого́да,
hill,пагорб,холм,
taiga,тайга́,тайга́,
dark,тьма,тьма,
ocean,океа́н,океа́н,
pit,я́ма,я́ма,
chance,шанс,шанс,
horizon,небокрай,горизо́нт,
flame,полум'я,пла́мя,
egg,яйце,яйцо́,
steppe,степ,степь,
cloud,хмара,ту́ча,
light,вогник,огонёк,
rose,троянда,ро́за,
spark,іскра,и́скра,
"bog, swamp, marsh",боло́то,боло́то,
"desert, wilderness",пустеля,пусты́ня,
"small river, brook",річка,ре́чка,
"log, beam",колоду,бревно́,
"poppy, poppy-seed",мак,мак,
dawn,світанок,рассве́т,
spore,спору,спо́ра,
plot of arable land,надів,наде́л,
hay,сіно,се́но,
lightning,блискавка,мо́лния,
pig,свиня,свинья́,
atmosphere,атмосфера,атмосфе́ра,
"cave, grotto",печера,пеще́ра,
"deer, reindeer",оле́нь,оле́нь,
pine,сосна,сосна́,
"soil, ground",грунт,по́чва,
"horn, bugle",ріг,рог,
"valley, dale",доли́на,доли́на,
"brook, stream",струмок,руче́й,
beach,пляж,пляж,
branch,гілка,ветвь,
"puddle, pool",калюжа,лу́жа,
"nature, model",нату́ра,нату́ра,
"stream, jet",струмінь,струя́,
"ravine, gully",яр,овра́г,
tobacco,тютюн,таба́к,
"space, cosmos",ко́смос,ко́смос,
plant,рослина,расте́ние,
"meadow, flood plain",луг,луг,
"greens, vegetables",зелень,зе́лень,
dew,роса́,роса́,
nest,гніздо,гнездо́,
oak,дуб,дуб,
storm,бу́ря,бу́ря,
planting,посадка,поса́дка,
thunder,грім,гром,
pond,ставок,пруд,
electrical discharge,розряд,разря́д,
thicket,зарості,за́росль,
Abyss,Абісаль,абисаль,
Air,Повітря,воздух,
Aquifer,Водоносний горизонт,водоносный горизонт,
Atmosphere,Атмосфера,атмосфера,
Cave,Печера,Пещера,
Climate,Клімат,климат,
Crust,Кора,кора,
Desert,Пустеля,пустыня,
Field,Поле,поле,
Fire,Вогонь,огонь,
Forest,Ліс,лес,
Frost,Іній,иней,
Gulf,Галф,Галф,
Hill,Пагорб,холм,
Ice,Лід,лед,
Jungle,Джунглі,джунгли,
Lava,Лава,лава,
Lake,Озеро,озеро,
Magma,Магма,Магма,
Mantle,Мантія,мантия,
Mountain,Гора,гора,
Plain,Рівнина,равнина,
Planet,Планета,Планета,
Reef,Риф,риф,
River,Річка,река,
Sand,Пісок,песок,
Sea,Море,море,
"Shore, bank",Берег,берег,
Space,ко́смос,космос,
Star,Зоря,звезда,
Stone,Гірська порода,горная порода,
Summit,Вершина місцевості,вершина местности,
Volcano,Вулкан,вулкан,
